"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the pre-upgrade-check action runs successfully.","4327","test_pre_upgrade_check","tests.integration.high_availability","Fri May 30 01:45:56 UTC 2025","passed","Fri May 30 01:46:00 UTC 2025","","test_upgrade_rollback_incompat","",""
"Stop server, write data, start and validate replication.","142174","test_replicate_data_on_restart","tests.integration.high_availability","Fri May 30 01:37:25 UTC 2025","passed","Fri May 30 01:39:48 UTC 2025","","test_self_healing_stop_primary","",""
"Test updating from stable channel.","172711","test_upgrade_from_stable","tests.integration.high_availability","Fri May 30 01:39:17 UTC 2025","passed","Fri May 30 01:42:10 UTC 2025","","test_upgrade_from_stable","",""
"Completely cut and restore network.","523868","test_network_cut","tests.integration.high_availability","Fri May 30 01:37:50 UTC 2025","passed","Fri May 30 01:46:34 UTC 2025","","test_self_healing_network_cut","",""
"Rotate password and confirm changes.","8136","test_password_rotation_silent","tests.integration.relations","Fri May 30 01:38:35 UTC 2025","passed","Fri May 30 01:38:43 UTC 2025","","test_database","",""
"Simple test to ensure that the mysql and application charms get deployed.","358395","test_deploy_stable","tests.integration.high_availability","Fri May 30 01:33:01 UTC 2025","passed","Fri May 30 01:38:59 UTC 2025","","test_upgrade_from_stable","",""
"Test rejoin invalidated cluster with.","17683","test_rejoin_invalidated_cluster","tests.integration.high_availability","Fri May 30 01:50:14 UTC 2025","passed","Fri May 30 01:50:32 UTC 2025","","test_async_replication","",""
"Simple test to ensure that the mysql and application charms get deployed.","401671","test_deploy_latest","tests.integration.high_availability","Fri May 30 01:30:57 UTC 2025","passed","Fri May 30 01:37:39 UTC 2025","","test_upgrade","",""
"Test the log rotation of text files.","22018","test_log_rotation","tests.integration.high_availability","Fri May 30 01:44:22 UTC 2025","passed","Fri May 30 01:44:44 UTC 2025","","test_replication_logs_rotation","",""
"Pause test.

    A graceful simultaneous restart of all instances,
    check primary election after the start, write and read data
    ","143849","test_cluster_pause","tests.integration.high_availability","Fri May 30 01:37:25 UTC 2025","passed","Fri May 30 01:39:49 UTC 2025","","test_self_healing_stop_all","",""
"Run the create replication and wait for the applications to settle.","174592","test_create_replication","tests.integration.high_availability","Fri May 30 01:42:01 UTC 2025","passed","Fri May 30 01:44:56 UTC 2025","","test_async_replication","",""
"Build and deploy for AWS.","388072","test_build_and_deploy_gcp","tests.integration","Fri May 30 01:34:24 UTC 2025","passed","Fri May 30 01:40:52 UTC 2025","","test_backup_pitr_gcp","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","Fri May 30 01:32:10 UTC 2025","skipped","Fri May 30 01:32:10 UTC 2025","","test_architecture","",""
"The cluster manual re-join test.

    A graceful restart is performed in one of the instances (choosing Primary to make it painful).
    In order to verify that the instance can come back ONLINE, after disabling automatic re-join
    ","54967","test_cluster_manual_rejoin","tests.integration.high_availability","Fri May 30 01:42:25 UTC 2025","passed","Fri May 30 01:43:20 UTC 2025","","test_self_healing_restart_graceful","",""
"Reboot a single unit and ensure it comes back online.","144282","test_reboot_3_of_3_units","tests.integration","Fri May 30 01:45:20 UTC 2025","passed","Fri May 30 01:47:44 UTC 2025","","test_vm_reboot","",""
"Relate charms and wait for the expected changes in status.","0","test_relation_creation_databag","tests.integration.relations","Fri May 30 01:38:55 UTC 2025","skipped","Fri May 30 01:38:55 UTC 2025","","test_database","",""
"Simple test to ensure that the mysql charm gets deployed.","419253","test_build_and_deploy","tests.integration","Fri May 30 01:32:07 UTC 2025","passed","Fri May 30 01:39:07 UTC 2025","","test_backup_aws","",""
"Test updating from stable channel.","131681","test_refresh_without_pre_upgrade_check","tests.integration.high_availability","Fri May 30 01:40:36 UTC 2025","passed","Fri May 30 01:42:48 UTC 2025","","test_upgrade_skip_pre_upgrade_check","",""
"Test removing and re-relating the two mysql clusters.","363190","test_remove_relation_and_relate","tests.integration.high_availability","Fri May 30 01:50:35 UTC 2025","passed","Fri May 30 01:56:38 UTC 2025","","test_async_replication","",""
"Freeze and unfreeze process and check for auto cluster recovery.","46899","test_freeze_db_process","tests.integration.high_availability","Fri May 30 01:37:25 UTC 2025","passed","Fri May 30 01:38:11 UTC 2025","","test_self_healing_process_frozen","",""
"Deploy the keystone bundle to test the 'db-router' relation.

    Args:
        ops_test: The ops test framework
    ","1458637","test_keystone_bundle_db_router","tests.integration.relations","Fri May 30 01:34:42 UTC 2025","passed","Fri May 30 01:59:01 UTC 2025","","test_db_router","",""
